rule_chain,node_name,node_type,status,output_field,source_fields,source_params,tinyexpr,tinyexpr_suggested,multi_output_sibling_fields,reason,original_code
AccelerographRC,Cuerpo de alerta,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"metadata.percepcion = msg.percepcion;
metadata.escala = msg.escala;
metadata.potencial = msg.potencial;
metadata.file_evt = msg.file_evt;
var time = new Date(msg.starttime);
var numberOfMlSeconds = time.getTime();
var addMlSeconds = (5 * 60) * 60000;
var time = new Date(numberOfMlSeconds - addMlSeconds);
metadata.fecha = time;
metadata.eje = msg.eje;
metadata.maxPGA = msg.maxPGA;
return { msg: msg, metadata: metadata, msgType: msgType };"
AccelerographRC,Guarda nombres,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"metadata.file_evt = msg.file_evt;
metadata.fecha = msg.starttime;
return {msg: msg, metadata: metadata, msgType: msgType};"
AccelerographRC,Solo Goldfields,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","msg.umbral_alerta=0.04

if(metadata.deviceName=='GF.Station AC-03 LVU AGUILAS, SN: 362' || metadata.deviceName=='GF.Station AC-02 BARREL FARM, SN: 100441' || metadata.deviceName=='GF.STATION AC-01'){
    
    if(msg.umbral_alerta<parseFloat(msg.maxPGA) ){
    
        return true 
    }
    else{
        return false
    }
    
}
else{
    
    return false
}"
AccelerographRC,Umbral,TbTransformMsgNode,needs_manual_review,,,,,,,no se encontró ninguna asignación msg.<campo> = <expresión> reconocible,"metadata.texto=""El acelerografo detectó un evento que superó al umbral máximo 0.04G""
return {msg: msg, metadata: metadata, msgType: msgType};"
AccelerographRC,Verifica escala,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var escala = msg.escala;
if (typeof escala !== 'undefined') {
    return true;
} else {
    return false;
}"
AlarmasBoroAcelerografo,Agrupar máximos,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var maxch0 = parseFloat(msg.maxch0);
var maxch1 = parseFloat(msg.maxch1);
var maxch2 = parseFloat(msg.maxch2);
if (!isNaN(maxch0) && !isNaN(maxch1) && !isNaN(maxch2)) {
    msg.maxchs_array = [maxch0, maxch1, maxch2];
}
return { msg: msg, metadata: metadata, msgType: msgType };"
AlarmasBoroAcelerografo,Correo,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var NIVELES_ALERTA = {
    'VERDE': {
        'min': 3,
        'max': 10,
        'color': '[VERDE]',
        'observacion': 'Sismo muy leve, imperceptible.',
        'riesgo': 'Bajo',
        'accion': 'Continuar con las actividades con normalidad.',
        'prioridad': 1
    },
    'AMARILLO': {
        'min': 10,
        'max': 30,
        'color': '[AMARILLO]',
        'observacion': 'Sismo leve, vibraciones de estructuras.',
        'riesgo': 'Medio',
        'accion': 'Evaluar la implementación de controles de seguridad.',
        'prioridad': 2
    },
    'NARANJA': {
        'min': 30,
        'max': 100,
        'color': '[NARANJA]',
        'observacion': 'Sismo moderado, posibles daños leves.',
        'riesgo': 'Moderado',
        'accion': 'Ejecutar los controles de seguridad.',
        'prioridad': 3
    },
    'ROJO': {
        'min': 100,
        'max': 10000,
        'color': '[ROJO]',
        'observacion': 'Sismo fuerte, posibles daños estructurales, rápida apertura de grietas y/o desplazamiento violento del material, falla del talud.',
        'riesgo': 'Alto',
        'accion': 'Detener los trabajos y evacuar al personal y equipos.',
        'prioridad': 4
    }
}

function processArray(array) {
    var maxValue = null;
    array = String(array);
    var myArray = array.split("","").map(function(elemento) {return parseFloat(elemento);});
    // Usar valores absolutos para encontrar el máximo
    maxValue = Math.max(Math.abs(myArray[0]), Math.abs(myArray[1]));
    maxValue = Math.max(maxValue, Math.abs(myArray[2]));
    return maxValue;
}

function obtenerObservacion(nivel) {
    var descripciones = {
        'VERDE': 'Sismo muy leve, imperceptible.',
        'AMARILLO': 'Sismo leve, vibraciones de estructuras.',
        'NARANJA': 'Sismo moderado, posibles daños leves.',
        'ROJO': 'Sismo fuerte, posibles daños estructurales, rápida apertura de grietas y/o desplazamiento violento del material, falla del talud.'
    };
    return descripciones[nivel] || 'No determinado';
}

function obtenerRiesgo(nivel) {
    var riesgos = {
        'VERDE': 'Bajo',
        'AMARILLO': 'Medio',
        'NARANJA': 'Moderado',
        'ROJO': 'Alto'
    };
    return riesgos[nivel] || 'No determinado';
}

function determinarNivelAlerta(valorCms2) {
    // Ordenar niveles por prioridad descendente (ROJO -> VERDE)
    var niveles = Object.keys(NIVELES_ALERTA).sort(function(a, b) {
        return NIVELES_ALERTA[b].prioridad - NIVELES_ALERTA[a].prioridad;
    });
    
    // Buscar el nivel apropiado
    for (var i = 0; i < niveles.length; i++) {
        var nivel = niveles[i];
        var info = NIVELES_ALERTA[nivel];
        if (valorCms2 >= info.min && valorCms2 < info.max) {
            return nivel;
        }
    }
    
    // Si no se encuentra, retornar el de menor prioridad (VERDE)
    return niveles[niveles.length - 1];
}

if (metadata.ss_type == 'accelerograph') {
    var GRAVEDAD = 9.80665;  // m/s²
    var fecha = new Date(parseFloat(metadata.ts));
    var myArray = String(msg.maxchs_array).split("","").map(function(elemento) {return parseFloat(elemento);});
    var maxValue = processArray(msg.maxchs_array);
    msg.maxValue = maxValue;
    
    // Determinar nivel de alerta basado en maxValue
    var valorAbs = Math.abs(maxValue);
    //var valorCms2 = valorAbs * GRAVEDAD * 100;
    var valorCms2 = valorAbs;
    var nivelAlerta = determinarNivelAlerta(valorCms2);
    
    // Asignar toda la información del nivel de alerta
    var nivelInfo = NIVELES_ALERTA[nivelAlerta];
    metadata.umbral_texto = nivelAlerta;
    metadata.nivel_color = nivelInfo.color;
    metadata.nivel_observacion = nivelInfo.observacion;
    metadata.nivel_riesgo = nivelInfo.riesgo;
    metadata.nivel_accion = nivelInfo.accion;
    metadata.nivel_prioridad = nivelInfo.prioridad;
    metadata.nivel_min = nivelInfo.min;
    metadata.nivel_max = nivelInfo.max;
    
    // Variables para plantilla MAX_alertas_Acelerografo
    var fechaTexto = fecha.toLocaleDateString() + ' ' + fecha.toLocaleTimeString();
    
    // Asunto del correo según nivel de alerta
    var emojis = {
        'VERDE': '🟢',
        'AMARILLO': '🟡',
        'NARANJA': '🟠',
        'ROJO': '🔴'
    };
    
    
    metadata.valor1 = metadata.deviceName;  // Dispositivo
    metadata.valor2 = fechaTexto;  // Fecha y Hora
    metadata.valor3 = emojis[nivelAlerta]+ '-' + nivelAlerta + ' - ' + obtenerRiesgo(nivelAlerta);  // Nivel y Riesgo
    metadata.valor4 = valorAbs.toFixed(6) + ' gal';  // Max PGA
    
    // Determinar eje de mayor aceleración
    var maxIndex = myArray.indexOf(Math.max.apply(null, myArray));
    var ejes = ['HNN', 'HNE', 'HNZ'];
    metadata.valor5 = ejes[maxIndex];  // Eje de Mayor Aceleración
    
    metadata.valor6 = obtenerObservacion(nivelAlerta);  // Observación geotécnica
    metadata.valor7 = nivelInfo.accion;  // Acción requerida
    metadata.valor8 = myArray[0].toFixed(6) + ' gal';  // Canal HNN
    metadata.valor9 = myArray[1].toFixed(6) + ' gal';  // Canal HNE
    metadata.valor10 = myArray[2].toFixed(6) + ' gal';  // Canal HNZ
  
}
return { msg: msg, metadata: metadata, msgType: msgType };"
AlarmasBoroAcelerografo,Envia solo la hora actual,TbJsFilterNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBoroAcelerografo,Fecha,TbTransformMsgNode,needs_manual_review,,,,,,,"contiene if/else o ternario -- tinyexpr no tiene control de flujo, requiere decisión manual de cómo modelarlo (o si corresponde partir en 2 fórmulas + alarma)","var fechaUTC = new Date(parseFloat(metadata.ts));


var fechaCorrigida = new Date(fechaUTC.getTime()-5*60*60*1000);

// Extraer los componentes
var dia = fechaCorrigida.getDate();
var mes = fechaCorrigida.getMonth() + 1; // Enero = 0
var anio = fechaCorrigida.getFullYear();
var hora = fechaCorrigida.getHours();
var minuto = fechaCorrigida.getMinutes();
var segundo = fechaCorrigida.getSeconds();

// Agregar ceros a la izquierda si es necesario
if (dia < 10) dia = '0' + dia;
if (mes < 10) mes = '0' + mes;
if (hora < 10) hora = '0' + hora;
if (minuto < 10) minuto = '0' + minuto;
if (segundo < 10) segundo = '0' + segundo;

// Unir todo en formato español
var fechaTexto = dia + '/' + mes + '/' + anio + ' ' + hora + ':' + minuto + ':' + segundo;
metadata.valor2=fechaTexto
metadata.valor1 = metadata.deviceName;
return {msg: msg, metadata: metadata, msgType: msgType};"
AlarmasBrocal,Condicion Alertas Acelerografos,TbJsSwitchNode,not_a_formula,,,,,,,"nodo de filtro/switch (compuerta booleana o enrutamiento), no calcula un valor de telemetría","var magEvento = parseFloat(msg.mag_evento);
var distanciaEpicentro = parseFloat(msg.distancia_epicentro);

if (isNaN(magEvento) || !isFinite(magEvento) || 
    isNaN(distanciaEpicentro) || !isFinite(distanciaEpicentro)) {
    return [""Sin Valor""];
}
if (msg.mag_evento > 7 && msg.distancia_epicentro <= 100) {
    return [""Peligro""];
} else if (msg.mag_evento > 6 && msg.distancia_epicentro <= 200) {
    return [""Alerta""] ;
} else  {
    return[""Normal""];
}"
