ID,Name,Duration,Predecessors,Resource Names,Outline Level
1,1. Análisis y Diseño,,,,1
2,Análisis de Requisitos y Scope,8d,,ARQ,2
3,Arquitectura & Modelado BDD,8d,2,ARQ; DBA,2
4,Diseño UX / Gráfico de Web,10d,2,UX,2
5,Diseño Mockups iOS & Android,8d,4,MOB,2
6,2. Insumos Base e Infra,,,,1
7,Aprovisionamiento AWS/Cloud,7d,3,CLD,2
8,Implementación Fisica Postgres,7d,3,DBA,2
9,ETLs de Ingesta desde Legacy,10d,8,DBA,2
10,3. Implementación Back & I.A,,,,1
11,C++ Boost Framework y Sockets,15d,7,BE1,2
12,APIs Biometría Python y NLP LLaMa,15d,7,BE2,2
13,Integración C++ con Machine Learn,10d,"11,12",BE1; BE2,2
14,4. Implementación Front,,,,1
15,Auth - Rutas y ReportStudio Web,14d,4,FE1,2
16,Mapas IoT - CCTV y Dashboards,14d,4,FE2,2
17,Desarrollo Código Android/iOS,15d,5,MOB,2
18,Sincronización Web-Móvil APIs,10d,13,"ARQ; BE1; BE2; FE1; FE2; MOB",2
19,5. QA y Pruebas,,,,1
20,Pruebas Unitarias de Código API,7d,13,QA,2
21,Pruebas Funcionales Web e Imp.,7d,18,QA,2
22,Pruebas Stress y Liveness C.,5d,21,QA; CLD,2
23,Manuales y Documentación Final,5d,22,QA; ARQ,2
24,6. Pase A Producción,,,,1
25,Pase Ambiente Certificación,5d,22,CLD,2
26,Firma / Certificación Minera,3d,25,ARQ; Directorio,2
27,Marcha Blanca (Test Real Ops),10d,26,"ARQ; BE1; BE2; FE1; FE2; DBA; UX; MOB; QA; CLD",2
28,Lanzamiento Global LATAM,2d,27,ARQ,2
