id,name,list,start,due,hours,priority,recurso,codes,stream,depends,tags
DEV-001,Organizar repositorios Git y reglas de trabajo del codigo,DevOps_Infra,2026-07-06,2026-07-17,16,High,SYS,SYS,Infraestructura,,INFRAESTRUCTURA
DEV-003,Contratar e instalar VPS de DESARROLLO compartido para el equipo,DevOps_Infra,2026-07-27,2026-08-07,32,High,SYS,SYS,Infraestructura,DEV-002,INFRAESTRUCTURA
SYS-I03,Configurar dominios y DNS de la plataforma,MES3_AGOSTO_UX_Sensores,2026-08-03,2026-08-07,12,Normal,SYS,SYS,Infraestructura,DEV-003,INFRAESTRUCTURA
SYS-I04,Gestionar parches de seguridad del sistema operativo,MES3_AGOSTO_UX_Sensores,2026-08-03,2026-09-04,32,High,SYS,SYS,Infraestructura,DEV-003,"INFRAESTRUCTURA,SEGURIDAD"
SYS-I06,Probar que los backups se pueden restaurar,MES4_SEPTIEMBRE_Integracion_QA,2026-08-24,2026-10-02,32,High,SYS,SYS,Infraestructura,DEV-004,INFRAESTRUCTURA
P2-M5-002,Configurar red privada y segmentos en datacenter Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,Infraestructura,P2-M5-001,"INFRAESTRUCTURA,SEGURIDAD"
P2-M5-003,Instalar servidores VPS Linux en datacenter Tier III Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,Infraestructura,P2-M5-002,"INFRAESTRUCTURA,CRITICO"
P2-M5-007,Instalar certificados SSL dinámicos (Let's Encrypt / Wildcard),MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,16,High,SYS,SYS,Infraestructura,P2-M5-003,"SEGURIDAD,INFRAESTRUCTURA"
P2-M5-009,Configurar volumenes de disco dedicados para bases de datos y archivos,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,16,High,SYS,SYS,Infraestructura,P2-M5-003,INFRAESTRUCTURA
SYS-I09,Optimizar red mina ↔ datacenter Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,SYS,SYS,Infraestructura,P2-M5-001,INFRAESTRUCTURA
SYS-I10,Configurar firewall y segmentacion de red,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,32,High,SYS,SYS,Infraestructura,P2-M5-002,"INFRAESTRUCTURA,SEGURIDAD"
SYS-I12,Alertas de vencimiento de certificados SSL,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,16,Normal,SYS,SYS,Infraestructura,P2-M5-007,"INFRAESTRUCTURA,SEGURIDAD"
VPS-001,"Instalar MinIO — almacenamiento de archivos (reportes, imagenes)",MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,SYS,SYS,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,SEGURIDAD"
VPS-002,Instalar QuestDB — base de datos de sensores en tiempo real,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,SENSORES,CRITICO"
P2-M5-015,Instalar sistema de monitoreo de servidores y servicios (Prometheus + Grafana),MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,32,High,SYS,SYS,Infraestructura,P2-M5-005,"INFRAESTRUCTURA,SENSORES"
VPS-007,Instalar Redis en Docker: cache de datos y sesiones de usuarios,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,16,High,SYS,SYS,Infraestructura,P2-M5-005,"INFRAESTRUCTURA,DATOS"
P2-M5-012,Documentar procedimiento de recuperacion de base de datos ante fallos,MES5_OCTUBRE_Optimizacion,2026-10-12,2026-10-16,16,High,SYS,SYS,Infraestructura,P2-M5-011,"DATOS,INFRAESTRUCTURA,DOCUMENTACION"
SYS-I14,Soporte infraestructura 24/7 en marcha blanca y Go-Live,MES6_NOVIEMBRE_GoLive,2026-11-16,2026-11-27,40,Urgent,SYS,SYS,Infraestructura,P2-M6-009,"PRODUCCION,INFRAESTRUCTURA"
