rule_chain,node_name,node_type,category,proposed_rules,reason,original_code
AccelerographRC,Solo Goldfields,TbJsFilterNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","msg.umbral_alerta=0.04

if(metadata.deviceName=='GF.Station AC-03 LVU AGUILAS, SN: 362' || metadata.deviceName=='GF.Station AC-02 BARREL FARM, SN: 100441' || metadata.deviceName=='GF.STATION AC-01'){
    
    if(msg.umbral_alerta<parseFloat(msg.maxPGA) ){
    
        return true 
    }
    else{
        return false
    }
    
}
else{
    
    return false
}"
AccelerographRC,Verifica escala,TbJsFilterNode,not_alarm_shaped,,"chequeo de existencia (typeof) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var escala = msg.escala;
if (typeof escala !== 'undefined') {
    return true;
} else {
    return false;
}"
AlarmasBoroAcelerografo,Envia solo la hora actual,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBrocal,Condicion Alertas Acelerografos,TbJsSwitchNode,compound_multi_field,,"la condición combina 2 campos distintos (distancia_epicentro, mag_evento) con && / || -- platform_alarm_rules es 1 campo/1 umbral por fila; requiere antes una fórmula sensor_formula_def con la extensión iif() de tinyexpr (ADR-198) que calcule un canal compuesto, y LUEGO una regla de umbral sobre ese canal vía formula_output_channel_code. Patrón detectado (aprox.): mag_eventogt7 && distancia_epicentrolte100 && mag_eventogt6 && distancia_epicentrolte200","var magEvento = parseFloat(msg.mag_evento);
var distanciaEpicentro = parseFloat(msg.distancia_epicentro);

if (isNaN(magEvento) || !isFinite(magEvento) || 
    isNaN(distanciaEpicentro) || !isFinite(distanciaEpicentro)) {
    return [""Sin Valor""];
}
if (msg.mag_evento > 7 && msg.distancia_epicentro <= 100) {
    return [""Peligro""];
} else if (msg.mag_evento > 6 && msg.distancia_epicentro <= 200) {
    return [""Alerta""] ;
} else  {
    return[""Normal""];
}"
AlarmasBrocal,Condicion Alertas Piezometro,TbJsSwitchNode,not_alarm_shaped,,"comparación contra literal de texto, no numérica -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","if (msg.ALT==""Seco""){
    return ['normal'];
}
else{
    
    var alt = !isNaN(parseFloat(msg.ALT)) ? parseFloat(msg.ALT) : 'none';
    var nivel_alerta=metadata.shared_nivel_alerta
    var nivel_peligro=metadata.shared_nivel_peligro

    if(alt < nivel_alerta) {
        return ['normal'];
    }
    if(alt >= nivel_alerta && alt <= nivel_peligro) {
        return ['alerta'];
    }
    if(alt > nivel_peligro) {
        return ['peligro'];
    }


    
}"
AlarmasBrocal,Envia solo la hora actual,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBrocal,Envia solo la hora actual,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
AlarmasBrocal,Tipo de dispositivo,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var tipo=metadata.deviceType

if(tipo==""piezometer_equation""){
    return ['piezometro'];
}
if(tipo==""piezometer""){
    return ['piezometro'];
}

if(tipo==""accelerograph"") {
    return ['accelerograph'];
}"
AlarmasCeldasBrocal,Condicion Alertas Celdas,TbJsSwitchNode,not_alarm_shaped,,"no se encontró ninguna comparación numérica msg.<campo> <op> <literal> -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var Vel=msg.Velocidad_diaria;

var nivel_alerta=metadata.shared_nivel_alerta;
var nivel_peligro=metadata.shared_nivel_peligro;

    if(Vel < nivel_alerta) {
        return ['normal'];
    }
    if(Vel >= nivel_alerta && Vel <= nivel_peligro) {
        return ['alerta'];
    }
    if(Vel > nivel_peligro) {
        return ['peligro'];
    }"
AlarmasCeldasBrocal,Envia solo la hora actual,TbJsFilterNode,not_alarm_shaped,,"chequeo de frescura del mensaje (new Date()) -- no es un umbral numérico de alarma, fuera de alcance de platform_alarm_rules tal cual existe","var fecha=new Date().getTime()
var horas=(fecha-parseFloat(metadata.ts))/3600000

if(horas<1){ return true
}
else{ return false }"
