Task Name,Task Description,Folder Name,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Release,Depends On,Complejidad,Riesgo,Stream,Ambiente,Sprint,Mes Calendario,Carga Mes Porcentaje,Tipo Metodologia,Secuencia Import
Revisión semanal de arquitectura con equipo técnico,"Sesión semanal donde el Arquitecto TI revisa avance técnico, resuelve impedimentos de diseño, valida decisiones técnicas y asegura alineación del equipo con la arquitectura aprobada. 1h semanal × 26 semanas.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,High,2026-06-01,2026-06-30,"ARQUITECTURA,GESTION_PROYECTO",52,ARQ-G01,"ARQ-Arquitecto TI / PMO, Soporte PMO — Analista Funcional y Documentador",R1,,Baja,Bajo,Arquitectura,Desarrollo,S1-S3,Transversal,99.6,PMO — Gobierno,1
Reportes semanales de avance a Gerencia General,"Elaboración y presentación del reporte semanal de avance del proyecto: porcentaje de completitud por fase, riesgos activos, presupuesto ejecutado, hitos alcanzados. Formato ejecutivo de 1 página para Directorio.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,High,2026-07-01,2026-07-31,"GESTION_PROYECTO,GERENCIA,DOCUMENTACION",26,ARQ-G02,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Baja,Medio,Arquitectura,Desarrollo,S3-S5,Transversal,93.5,PMO — Gobierno,2
Actualización quincenal del cronograma maestro en ClickUp,"Cada 2 semanas, el Arquitecto TI actualiza el cronograma en ClickUp: re-estima tareas, ajusta dependencias, rebalancea carga de recursos, actualiza fechas de milestones según avance real.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,High,2026-08-03,2026-08-31,"GESTION_PROYECTO,DOCUMENTACION",26,ARQ-G03,Soporte PMO — Analista Funcional y Documentador,R1,,Media,Medio,Arquitectura,Desarrollo,S5-S7,Transversal,90,PMO — Gobierno,3
Gestión de stakeholders y comunicación ejecutiva,"Coordinación continua con Gerencia Minera, Gerencia de TI y Directorio: gestión de expectativas, resolución de conflictos de prioridades, aprobaciones pendientes, comunicación de cambios de alcance.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,High,2026-08-03,2026-09-30,"GESTION_PROYECTO,GERENCIA",40,ARQ-G04,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Media,Alto,Arquitectura,Desarrollo,S5-S9,Transversal,90,PMO — Gobierno,4
Architecture Decision Records (ADR) por sprint,"Documentación formal de cada decisión arquitectónica importante: problema, alternativas evaluadas, decisión tomada, consecuencias. Un ADR por sprint mínimo. Registro vivo consultable por todo el equipo.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,Normal,2026-06-01,2026-09-30,"ARQUITECTURA,DOCUMENTACION",26,ARQ-G05,"ARQ-Arquitecto TI / PMO, BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)",R1,,Media,Bajo,Arquitectura,Desarrollo,S1-S9,Transversal,99.6,PMO — Gobierno,5
Revisiones de Production Readiness por release,"Antes de cada release (R1-R6), el Arquitecto TI lidera la revisión de preparación: checklist de calidad, seguridad, rendimiento, documentación, plan de rollback. Gate de aprobación obligatorio.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,Urgent,2026-10-01,2026-11-02,"ARQUITECTURA,CRITICO,GESTION_PROYECTO",24,ARQ-G06,ARQ-Arquitecto TI / PMO,R1,,Media,Alto,Arquitectura,Desarrollo,S9-S12,Transversal,94.5,PMO — Gobierno,6
Control presupuestal y tracking de costos del proyecto,"Seguimiento mensual del presupuesto: costos reales vs estimados por recurso, costos de infraestructura, licencias, equipamiento. Alerta temprana de desviaciones >10%. Reporte a Gerencia Financiera.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,DOCUMENTACION",26,ARQ-G07,Soporte PMO — Analista Funcional y Documentador,R1,,Baja,Medio,Arquitectura,Desarrollo,S9-S12,Transversal,98.3,PMO — Gobierno,7
Proceso de gestión de cambios (Change Management),"Establecer y operar el proceso formal de gestión de cambios: solicitud, evaluación de impacto, aprobación, implementación. Todo cambio de alcance, tecnología o timeline pasa por este proceso.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,High,2026-11-02,2026-11-30,"GESTION_PROYECTO,DOCUMENTACION",24,ARQ-G08,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Media,Alto,Arquitectura,Desarrollo,S12-S13,Transversal,99,PMO — Gobierno,8
Mentoring técnico y transferencia de conocimiento al equipo,"Sesiones de mentoría del Arquitecto TI hacia el equipo: buenas prácticas C++, patrones de diseño, revisión de código arquitectónico, pair programming en problemas complejos. 2h/semana.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,Normal,2026-07-01,2026-11-30,"ARQUITECTURA,DOCUMENTACION",47,ARQ-G09,"ARQ-Arquitecto TI / PMO, IA-ML — Modelos e Inteligencia Artificial (desde mes 2), Soporte PMO — Analista Funcional y Documentador",R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S13,Transversal,91.4,PMO — Gobierno,9
Gestión de proveedores datacenter Lima y licencias,"Coordinación con proveedores del datacenter en Lima: contratos, SLAs, escalamientos, gestión de licencias de software, negociación de condiciones técnicas.",Etapa 1 - Plataforma Reportabilidad,PMO_Seguimiento,Backlog,Normal,2026-07-01,2026-09-30,"GESTION_PROYECTO,INFRAESTRUCTURA",24,ARQ-G10,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R2,,Media,Medio,Arquitectura,Desarrollo,S3-S9,Transversal,93.5,PMO — Gobierno,10
Auditoría final de cumplimiento arquitectura vs SOW y requisitos mineros,"Revisión formal de que la plataforma cumple arquitectura aprobada, requisitos del SOW, normativa minera y OWASP. Matriz de trazabilidad requisito→entregable. QA valida evidencias.",Etapa 1 - Plataforma Reportabilidad,MES6_NOVIEMBRE_GoLive,Backlog,High,2026-11-02,2026-11-30,"ARQUITECTURA,DOCUMENTACION,CRITICO",32,ARQ-G12,"ARQ-Arquitecto TI / PMO, QA-Calidad (desde mes 2), Soporte PMO — Analista Funcional y Documentador",R6,ARQ-G06,Media,Alto,Arquitectura,Desarrollo,S12-S13,Noviembre,90,Agile — Desarrollo por Sprint,11
Auditoría de seguridad por sprint (revisión quincenal),"Revisión de seguridad recurrente cada sprint: nuevo código, nuevos endpoints, nuevas dependencias. Checklist OWASP, análisis de dependencias (CVE), revisión de secrets, validación de permisos.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,High,2026-07-01,2026-07-31,"SEGURIDAD,PRUEBAS_CALIDAD",52,BE2-S01,"BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP), QA-Calidad (desde mes 2), IA-ML — Modelos e Inteligencia Artificial (desde mes 2)",R2,,Media,Alto,Backend,Desarrollo,S3-S5,Julio,90,Agile — Desarrollo por Sprint,12
Escaneo automatizado de vulnerabilidades en dependencias,"Configuración de escaneo automático de vulnerabilidades en dependencias C++ (vcpkg), Python (pip), JavaScript (npm). Integración en CI/CD. Alerta y bloqueo de builds con CVEs críticos.",Etapa 1 - Plataforma Reportabilidad,MES2_JULIO_Core_Seguridad,Backlog,High,2026-06-30,2026-07-03,"SEGURIDAD,INFRAESTRUCTURA",32,BE2-S02,BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP),R2,,Alta,Alto,Backend,Desarrollo,S3,Julio,90.1,Agile — Desarrollo por Sprint,13
