id,name,list,start,due,hours,priority,recurso,codes,solo_sys,stream,depends,tags
DEV-001,Organizar repositorios Git y reglas de trabajo del codigo,DevOps_Infra,2026-07-06,2026-07-17,16,High,SYS,SYS,True,Infraestructura,,INFRAESTRUCTURA
DEV-002,Empaquetar todos los servicios en contenedores Docker,DevOps_Infra,2026-07-13,2026-07-31,40,High,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,DEV-001,INFRAESTRUCTURA
DEV-003,Contratar e instalar VPS de DESARROLLO compartido para el equipo,DevOps_Infra,2026-07-27,2026-08-07,32,High,SYS,SYS,True,Infraestructura,DEV-002,INFRAESTRUCTURA
IA-M03,Preparar servidor de Inteligencia Artificial (GPU + MLflow),MES2_JULIO_Core_Seguridad,2026-07-27,2026-07-31,48,High,"BACKEND 3, SYS, IA-ML","BE3,IA,SYS",False,IA,DEV-003,"INTELIGENCIA_ARTIFICIAL,INFRAESTRUCTURA"
SYS-I01,Automatizar instalacion de servidores (Ansible),MES2_JULIO_Core_Seguridad,2026-07-27,2026-07-31,32,High,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,DEV-002,INFRAESTRUCTURA
SYS-I02,Centralizar logs del sistema (Loki + Grafana),MES2_JULIO_Core_Seguridad,2026-07-27,2026-07-31,32,High,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,DEV-003,INFRAESTRUCTURA
DEV-004,Instalar VPS de PRUEBAS / CERTIFICACION (staging),DevOps_Infra,2026-08-03,2026-08-28,32,High,"SYS, QA","SYS,QA",False,Infraestructura,DEV-003,"INFRAESTRUCTURA,PRUEBAS_CALIDAD"
SYS-I03,Configurar dominios y DNS de la plataforma,MES3_AGOSTO_UX_Sensores,2026-08-03,2026-08-07,12,Normal,SYS,SYS,True,Infraestructura,DEV-003,INFRAESTRUCTURA
SYS-I04,Gestionar parches de seguridad del sistema operativo,MES3_AGOSTO_UX_Sensores,2026-08-03,2026-09-04,32,High,SYS,SYS,True,Infraestructura,DEV-003,"INFRAESTRUCTURA,SEGURIDAD"
SYS-I05,Mantenimiento semanal de bases de datos,MES3_AGOSTO_UX_Sensores,2026-08-03,2026-09-04,44,High,"BACKEND 1, BACKEND 3, ARQ-Arquitecto TI / PMO, SYS","BE1,BE3,ARQ,SYS",False,Infraestructura,DEV-003,"DATOS,INFRAESTRUCTURA"
QA-002,Preparar ambiente de PRUEBAS (staging) para el equipo QA,QA_Transversal,2026-08-03,2026-08-14,24,High,"SYS, QA","SYS,QA",False,QA,DEV-003,"PRUEBAS_CALIDAD,INFRAESTRUCTURA"
P1-M4-004,Instalar cola de mensajes Redpanda/Kafka en datacenter,MES4_SEPTIEMBRE_Integracion_QA,2026-08-24,2026-09-04,24,High,"BACKEND 3, SYS","BE3,SYS",False,Backend,P1-M3-009,"DATOS,INFRAESTRUCTURA"
SYS-I06,Probar que los backups se pueden restaurar,MES4_SEPTIEMBRE_Integracion_QA,2026-08-24,2026-10-02,32,High,SYS,SYS,True,Infraestructura,DEV-004,INFRAESTRUCTURA
SYS-I07,Documentar infraestructura y red (diagramas),MES4_SEPTIEMBRE_Integracion_QA,2026-08-24,2026-09-18,24,Normal,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,DEV-004,"DOCUMENTACION,INFRAESTRUCTURA"
SYS-I08,"Igualar ambientes dev, staging y produccion",MES4_SEPTIEMBRE_Integracion_QA,2026-08-24,2026-10-02,32,High,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,DEV-003,INFRAESTRUCTURA
QA-T09,Desarrollo de scripts de pruebas de estrés,QA_Transversal,2026-08-24,2026-10-16,40,High,"SYS, QA","SYS,QA",False,QA,QA-T01,PRUEBAS_CALIDAD
DEV-005,Instalar VPS de PRODUCCION en datacenter Lima (usuarios reales),DevOps_Infra,2026-09-21,2026-10-02,32,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,DEV-004,"INFRAESTRUCTURA,CRITICO"
P2-M5-001,Disenar red del datacenter Lima y enlace con minas,MES5_OCTUBRE_Optimizacion,2026-09-21,2026-10-02,40,Urgent,"BACKEND 3, ARQ-Arquitecto TI / PMO, SYS","BE3,ARQ,SYS",False,Infraestructura,P1-M4-011,"INFRAESTRUCTURA,ARQUITECTURA,CRITICO"
P2-M5-002,Configurar red privada y segmentos en datacenter Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,True,Infraestructura,P2-M5-001,"INFRAESTRUCTURA,SEGURIDAD"
P2-M5-003,Instalar servidores VPS Linux en datacenter Tier III Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,True,Infraestructura,P2-M5-002,"INFRAESTRUCTURA,CRITICO"
P2-M5-004,"Crear estructura de usuarios, permisos y politicas de acceso al servidor",MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,"BACKEND 2, SYS","BE2,SYS",False,Infraestructura,P2-M5-003,"SEGURIDAD,INFRAESTRUCTURA"
P2-M5-005,Instalar y configurar orquestador de contenedores (Docker Swarm / K3s),MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,40,Urgent,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,CRITICO"
P2-M5-006,"Blindaje de seguridad de servidores: firewall, bloqueo de accesos no autorizados",MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,32,Urgent,"BACKEND 2, SYS","BE2,SYS",False,Infraestructura,P2-M5-003,"SEGURIDAD,INFRAESTRUCTURA,CRITICO"
P2-M5-007,Instalar certificados SSL dinámicos (Let's Encrypt / Wildcard),MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,16,High,SYS,SYS,True,Infraestructura,P2-M5-003,"SEGURIDAD,INFRAESTRUCTURA"
P2-M5-009,Configurar volumenes de disco dedicados para bases de datos y archivos,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,16,High,SYS,SYS,True,Infraestructura,P2-M5-003,INFRAESTRUCTURA
P2-M5-010,Instalar base de datos PostgreSQL con replica y alta disponibilidad,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,32,Urgent,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS","BE1,ARQ,SYS",False,Infraestructura,P2-M5-003,"DATOS,INFRAESTRUCTURA,CRITICO"
SYS-I09,Optimizar red mina ↔ datacenter Lima,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,SYS,SYS,True,Infraestructura,P2-M5-001,INFRAESTRUCTURA
SYS-I10,Configurar firewall y segmentacion de red,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,32,High,SYS,SYS,True,Infraestructura,P2-M5-002,"INFRAESTRUCTURA,SEGURIDAD"
SYS-I11,Acelerar carga web con Nginx (cache y compresion),MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,16,Normal,"FRONTEND 1, SYS","FE1,SYS",False,Infraestructura,P2-M5-003,INFRAESTRUCTURA
SYS-I12,Alertas de vencimiento de certificados SSL,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,16,Normal,SYS,SYS,True,Infraestructura,P2-M5-007,"INFRAESTRUCTURA,SEGURIDAD"
VPS-001,"Instalar MinIO — almacenamiento de archivos (reportes, imagenes)",MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,SYS,SYS,True,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,SEGURIDAD"
VPS-002,Instalar QuestDB — base de datos de sensores en tiempo real,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,32,Urgent,SYS,SYS,True,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,SENSORES,CRITICO"
VPS-003,Configurar VPN WireGuard para acceso seguro desde mina,MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,24,High,"BACKEND 2, SYS","BE2,SYS",False,Infraestructura,P2-M5-002,"SEGURIDAD,INFRAESTRUCTURA"
VPS-004,Provisionar servidor VPS de respaldo (arquitectura Activo-Pasivo),MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-09,32,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,P2-M5-003,"INFRAESTRUCTURA,CRITICO"
VPS-005,"Plan de conectividad operador-agnostica para clientes mineros (Claro, Movistar, Bitel, Entel)",MES5_OCTUBRE_Optimizacion,2026-09-28,2026-10-02,24,High,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Arquitectura,P2-M5-001,"INFRAESTRUCTURA,DOCUMENTACION,CRITICO"
P2-M5-008,"Automatizar proceso de compilacion, pruebas y despliegue del sistema",MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-09,32,High,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS","BE1,ARQ,SYS",False,Infraestructura,P2-M5-005,"INFRAESTRUCTURA,CRITICO"
P2-M5-011,Configurar copias de seguridad continuas de la base de datos,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,24,High,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS","BE1,ARQ,SYS",False,Infraestructura,P2-M5-010,"DATOS,INFRAESTRUCTURA,SEGURIDAD"
P2-M5-013,Plan de recuperacion ante desastres (DRP): que hacer si todo falla,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,32,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,P2-M5-010,"INFRAESTRUCTURA,SEGURIDAD,CRITICO"
P2-M5-014,Crear procesos automaticos de limpieza y mantenimiento de la base de datos,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,16,Normal,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS","BE1,ARQ,SYS",False,Infraestructura,P2-M5-010,"DATOS,INFRAESTRUCTURA"
P2-M5-015,Instalar sistema de monitoreo de servidores y servicios (Prometheus + Grafana),MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,32,High,SYS,SYS,True,Infraestructura,P2-M5-005,"INFRAESTRUCTURA,SENSORES"
VPS-006,Instalar WAF (Web Application Firewall) para proteger la plataforma web,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-09,24,High,"BACKEND 2, SYS","BE2,SYS",False,Infraestructura,P2-M5-006,"SEGURIDAD,INFRAESTRUCTURA"
VPS-007,Instalar Redis en Docker: cache de datos y sesiones de usuarios,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,16,High,SYS,SYS,True,Infraestructura,P2-M5-005,"INFRAESTRUCTURA,DATOS"
VPS-008,Configurar replicacion automatica de datos al servidor de respaldo,MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,32,Urgent,"BACKEND 3, SYS","BE3,SYS",False,Infraestructura,VPS-004,"INFRAESTRUCTURA,CRITICO"
VPS-009,Documentar arquitectura completa VPS datacenter Lima (diagrama tecnico y gerencial),MES5_OCTUBRE_Optimizacion,2026-10-05,2026-10-16,24,High,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Arquitectura,VPS-005,"DOCUMENTACION,ARQUITECTURA"
P2-M5-012,Documentar procedimiento de recuperacion de base de datos ante fallos,MES5_OCTUBRE_Optimizacion,2026-10-12,2026-10-16,16,High,SYS,SYS,True,Infraestructura,P2-M5-011,"DATOS,INFRAESTRUCTURA,DOCUMENTACION"
P2-M5-016,Simulacro de falla: verificar que el sistema se recupera automaticamente,MES5_OCTUBRE_Optimizacion,2026-10-12,2026-10-16,24,High,"SYS, QA","SYS,QA",False,Infraestructura,P2-M5-013,"INFRAESTRUCTURA,PRUEBAS_CALIDAD,CRITICO"
P2-M5-019,Milestone: Infraestructura Productiva Lista,MES5_OCTUBRE_Optimizacion,2026-10-12,2026-10-16,8,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,P2-M5-016,"CRITICO,INFRAESTRUCTURA"
SYS-I13,Plan de capacidad y escalamiento (1 ano),MES5_OCTUBRE_Optimizacion,2026-10-12,2026-10-16,24,High,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,P2-M5-015,INFRAESTRUCTURA
P2-M6-001,"Pruebas de estrés: 10,000 sensores simultáneos",MES6_NOVIEMBRE_GoLive,2026-11-02,2026-11-06,40,Urgent,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS, QA","BE1,ARQ,SYS,QA",False,QA,P2-M5-019,"PRUEBAS_CALIDAD,SENSORES,CRITICO"
P2-M6-003,Simulacros de fallo y recuperación (DR drill),MES6_NOVIEMBRE_GoLive,2026-11-02,2026-11-06,24,High,"SYS, QA","SYS,QA",False,QA,P2-M5-013,"INFRAESTRUCTURA,PRUEBAS_CALIDAD,CRITICO"
P2-M6-005,Ajuste fino de rendimiento post-pruebas,MES6_NOVIEMBRE_GoLive,2026-11-02,2026-11-06,24,High,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS","BE1,ARQ,SYS",False,Backend,P2-M6-001,"DATOS,INFRAESTRUCTURA"
VPS-010,"Prueba de conectividad desde mina real: fibra, 4G (todos los operadores) y satelital",MES6_NOVIEMBRE_GoLive,2026-11-02,2026-11-06,24,Urgent,"ARQ-Arquitecto TI / PMO, SYS, QA","ARQ,SYS,QA",False,Infraestructura,VPS-005,"INFRAESTRUCTURA,PRUEBAS_CALIDAD,CRITICO"
VPS-011,Prueba de failover completo: caida de servidor principal y activacion de respaldo,MES6_NOVIEMBRE_GoLive,2026-11-02,2026-11-13,24,Urgent,"SYS, QA","SYS,QA",False,Infraestructura,VPS-008,"PRUEBAS_CALIDAD,CRITICO,INFRAESTRUCTURA"
P2-M6-009,Marcha blanca con datos reales en unidad minera,MES6_NOVIEMBRE_GoLive,2026-11-09,2026-11-20,40,Urgent,"ARQ-Arquitecto TI / PMO, SYS, QA","ARQ,SYS,QA",False,Arquitectura,P2-M6-004,"PRODUCCION,CRITICO"
SYS-I14,Soporte infraestructura 24/7 en marcha blanca y Go-Live,MES6_NOVIEMBRE_GoLive,2026-11-16,2026-11-27,40,Urgent,SYS,SYS,True,Infraestructura,P2-M6-009,"PRODUCCION,INFRAESTRUCTURA"
ARQ-G13,Transferencia formal del sistema a operaciones TI del cliente,MES6_NOVIEMBRE_GoLive,2026-11-23,2026-11-27,40,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Arquitectura,P2-M6-012,"GESTION_PROYECTO,PRODUCCION,SOPORTE"
P2-M6-012,Pase a producción global (Hard-Launch LATAM),MES6_NOVIEMBRE_GoLive,2026-11-23,2026-11-27,16,Urgent,"ARQ-Arquitecto TI / PMO, SYS","ARQ,SYS",False,Infraestructura,P2-M6-011,"PRODUCCION,CRITICO"
P2-M6-013,Soporte post-GoLive y estabilización (Semana 26),MES6_NOVIEMBRE_GoLive,2026-11-23,2026-11-27,40,Urgent,"BACKEND 1, ARQ-Arquitecto TI / PMO, SYS, QA","BE1,ARQ,SYS,QA",False,Backend,P2-M6-012,PRODUCCION
