Task Name,Task Description,Folder Name,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Etapa,Release,Depends On,Complejidad,Riesgo,Stream,Avance Objetivo %,Sprint,Mes Calendario,Tipo Metodologia
PoC: Inicio de sesión y auditoría — Entender necesidades y alcance,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Qué problema resuelve este módulo, quién lo usa en mina y qué significa tenerlo al 20%.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-A,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Inicio de sesión y auditoría — Investigar referencias y alternativas,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Revisar mercado, ThingsBoard, normativa minera y buenas prácticas similares.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-B,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Inicio de sesión y auditoría — Entrevistar usuarios y stakeholders,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Conversaciones con operaciones, geotecnia, TI, gerencia y mantenimiento.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-C,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Inicio de sesión y auditoría — Revisar fuentes del prototipo,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Código fuente, APIs, pantallas reales, documentación y datos de prueba existentes.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-D,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Inicio de sesión y auditoría — Ejecutar pruebas en el prototipo,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Navegar el módulo en la app, registrar bugs, medir tiempos y validar flujos clave.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-E,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Inicio de sesión y auditoría — Retroalimentación y cierre al 20%,"MÓDULO DEL MENÚ: Inicio de sesión y auditoría
Grupo: Plataforma

QUÉ HACE (en simple): Pantalla de acceso, usuario conectado, registro de acciones y salida segura.

ACTIVIDAD DE ESTA TAREA: Acta PoC, lecciones aprendidas, lista de mejoras para Etapa 1 y confirmación 20% avance.

Referencia técnica (prototipo): AuthGateway, AuditCenter, avatar, branding minero/unidad en cabecera.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,ARQUITECTURA,ARQUITECTURA,GESTION_PROYECTO",3,E0-M01-F,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Mantenimiento de usuarios — Entender necesidades y alcance,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Qué problema resuelve este módulo, quién lo usa en mina y qué significa tenerlo al 20%.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-A,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Mantenimiento de usuarios — Investigar referencias y alternativas,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Revisar mercado, ThingsBoard, normativa minera y buenas prácticas similares.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-B,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Mantenimiento de usuarios — Entrevistar usuarios y stakeholders,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Conversaciones con operaciones, geotecnia, TI, gerencia y mantenimiento.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-C,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
PoC: Mantenimiento de usuarios — Revisar fuentes del prototipo,"MÓDULO DEL MENÚ: Mantenimiento de usuarios
Grupo: Mantenimiento

QUÉ HACE (en simple): Alta, baja y edición de usuarios de la mina (perfiles, claves, estado activo/inactivo).

ACTIVIDAD DE ESTA TAREA: Código fuente, APIs, pantallas reales, documentación y datos de prueba existentes.

Referencia técnica (prototipo): UserManagementView, UserMaintenanceModal, ensureCompanyUsers.

ENTREGABLE: evidencia documentada con avance objetivo 20% del módulo.
Periodo: marzo–abril 2026 | Responsable: ARQ (arquitecto / PMO).",Etapa 0 - Pruebas de concepto,E0_MARZO_ABRIL_PoC,Backlog,High,2026-03-02,2026-03-12,"SEGURIDAD,GESTION_PROYECTO,ARQUITECTURA,GESTION_PROYECTO",3,E0-M02-D,ARQ-Arquitecto TI / PMO,Etapa 0,E0,,Media,Medio,Arquitectura,20,S1,Marzo,Por etapa
