Task Name,Task Description,List Name,Status,Priority,Start Date,Due Date,Tags,Time Estimate,Task ID,Recurso,Release,Depends On,Complejidad,Riesgo,Stream,Ambiente,Sprint,Mes Calendario,Carga Mes Porcentaje,Tipo Metodologia
Revisión semanal de arquitectura con equipo técnico,"Sesión semanal donde el Arquitecto TI revisa avance técnico, resuelve impedimentos de diseño, valida decisiones técnicas y asegura alineación del equipo con la arquitectura aprobada. 1h semanal × 26 semanas.",PMO_Seguimiento,Backlog,High,2026-06-01,2026-06-30,"ARQUITECTURA,GESTION_PROYECTO",52,ARQ-G01,"ARQ-Arquitecto TI / PMO, Soporte PMO — Analista Funcional y Documentador",R1,,Baja,Bajo,Arquitectura,Desarrollo,S1-S3,Transversal,97.9,PMO — Gobierno
Reportes semanales de avance a Gerencia General,"Elaboración y presentación del reporte semanal de avance del proyecto: porcentaje de completitud por fase, riesgos activos, presupuesto ejecutado, hitos alcanzados. Formato ejecutivo de 1 página para Directorio.",PMO_Seguimiento,Backlog,High,2026-07-01,2026-07-31,"GESTION_PROYECTO,GERENCIA,DOCUMENTACION",26,ARQ-G02,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Baja,Medio,Arquitectura,Desarrollo,S3-S5,Transversal,93.6,PMO — Gobierno
Actualización quincenal del cronograma maestro en ClickUp,"Cada 2 semanas, el Arquitecto TI actualiza el cronograma en ClickUp: re-estima tareas, ajusta dependencias, rebalancea carga de recursos, actualiza fechas de milestones según avance real.",PMO_Seguimiento,Backlog,High,2026-08-03,2026-08-31,"GESTION_PROYECTO,DOCUMENTACION",26,ARQ-G03,Soporte PMO — Analista Funcional y Documentador,R1,,Media,Medio,Arquitectura,Desarrollo,S5-S7,Transversal,96.9,PMO — Gobierno
Gestión de stakeholders y comunicación ejecutiva,"Coordinación continua con Gerencia Minera, Gerencia de TI y Directorio: gestión de expectativas, resolución de conflictos de prioridades, aprobaciones pendientes, comunicación de cambios de alcance.",PMO_Seguimiento,Backlog,High,2026-08-03,2026-09-30,"GESTION_PROYECTO,GERENCIA",40,ARQ-G04,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Media,Alto,Arquitectura,Desarrollo,S5-S9,Transversal,96.9,PMO — Gobierno
Architecture Decision Records (ADR) por sprint,"Documentación formal de cada decisión arquitectónica importante: problema, alternativas evaluadas, decisión tomada, consecuencias. Un ADR por sprint mínimo. Registro vivo consultable por todo el equipo.",PMO_Seguimiento,Backlog,Normal,2026-06-01,2026-09-30,"ARQUITECTURA,DOCUMENTACION",26,ARQ-G05,"ARQ-Arquitecto TI / PMO, BACKEND 2 — Ciberseguridad Backend (JWT/RBAC/OWASP)",R1,,Media,Bajo,Arquitectura,Desarrollo,S1-S9,Transversal,97.9,PMO — Gobierno
Revisiones de Production Readiness por release,"Antes de cada release (R1-R6), el Arquitecto TI lidera la revisión de preparación: checklist de calidad, seguridad, rendimiento, documentación, plan de rollback. Gate de aprobación obligatorio.",PMO_Seguimiento,Backlog,Urgent,2026-10-01,2026-11-02,"ARQUITECTURA,CRITICO,GESTION_PROYECTO",24,ARQ-G06,ARQ-Arquitecto TI / PMO,R1,,Media,Alto,Arquitectura,Desarrollo,S9-S12,Transversal,91.6,PMO — Gobierno
Control presupuestal y tracking de costos del proyecto,"Seguimiento mensual del presupuesto: costos reales vs estimados por recurso, costos de infraestructura, licencias, equipamiento. Alerta temprana de desviaciones >10%. Reporte a Gerencia Financiera.",PMO_Seguimiento,Backlog,Normal,2026-10-01,2026-11-02,"GESTION_PROYECTO,DOCUMENTACION",26,ARQ-G07,Soporte PMO — Analista Funcional y Documentador,R1,,Baja,Medio,Arquitectura,Desarrollo,S9-S12,Transversal,96.0,PMO — Gobierno
Proceso de gestión de cambios (Change Management),"Establecer y operar el proceso formal de gestión de cambios: solicitud, evaluación de impacto, aprobación, implementación. Todo cambio de alcance, tecnología o timeline pasa por este proceso.",PMO_Seguimiento,Backlog,High,2026-11-02,2026-11-30,"GESTION_PROYECTO,DOCUMENTACION",24,ARQ-G08,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R1,,Media,Alto,Arquitectura,Desarrollo,S12-S13,Transversal,90.0,PMO — Gobierno
Mentoring técnico y transferencia de conocimiento al equipo,"Sesiones de mentoría del Arquitecto TI hacia el equipo: buenas prácticas C++, patrones de diseño, revisión de código arquitectónico, pair programming en problemas complejos. 2h/semana.",PMO_Seguimiento,Backlog,Normal,2026-07-01,2026-11-30,"ARQUITECTURA,DOCUMENTACION",46,ARQ-G09,"ARQ-Arquitecto TI / PMO, IA-ML — Modelos e Inteligencia Artificial (desde mes 2), Soporte PMO — Analista Funcional y Documentador",R1,,Baja,Bajo,Arquitectura,Desarrollo,S3-S13,Transversal,94.3,PMO — Gobierno
Gestión de proveedores datacenter Lima y licencias,"Coordinación con proveedores del datacenter en Lima: contratos, SLAs, escalamientos, gestión de licencias de software, negociación de condiciones técnicas.",PMO_Seguimiento,Backlog,Normal,2026-07-01,2026-09-30,"GESTION_PROYECTO,INFRAESTRUCTURA",24,ARQ-G10,"Soporte PMO — Analista Funcional y Documentador, ARQ-Arquitecto TI / PMO",R2,,Media,Medio,Arquitectura,Desarrollo,S3-S9,Transversal,93.6,PMO — Gobierno
